"invoice_id","branch","city","customer_type","gender","product_line","unit_price","quantity","tax5","total","date","time","payment","cogs","gross_margin_percentage","gross_income","rating","time_of_day","day_of_week","month_name"
"101-17-6199","A","Yangon","Normal","Male","Food and beverages","45.79",7,"16.03","336.56","2019-03-13","19:44:00","Credit card","320.53","4.76","16.03","7.0","Evening","Wednesday","March    "
"101-81-4070","C","Naypyitaw","Member","Female","Health and beauty","62.82",2,"6.28","131.92","2019-01-17","12:36:00","Ewallet","125.64","4.76","6.28","4.9","Afternoon","Thursday ","January  "
"102-06-2002","C","Naypyitaw","Member","Male","Sports and travel","25.25",5,"6.31","132.56","2019-03-20","17:52:00","Cash","126.25","4.76","6.31","6.1","Evening","Wednesday","March    "
"102-77-2261","C","Naypyitaw","Member","Male","Health and beauty","65.31",7,"22.86","480.03","2019-03-05","18:02:00","Credit card","457.17","4.76","22.86","4.2","Evening","Tuesday  ","March    "
"105-10-6182","A","Yangon","Member","Male","Fashion accessories","21.48",2,"2.15","45.11","2019-02-27","12:22:00","Ewallet","42.96","4.76","2.15","6.6","Afternoon","Wednesday","February "
"105-31-1824","A","Yangon","Member","Male","Sports and travel","69.52",7,"24.33","510.97","2019-02-01","15:10:00","Credit card","486.64","4.76","24.33","8.5","Afternoon","Friday   ","February "
"106-35-6779","A","Yangon","Member","Male","Home and lifestyle","44.34",2,"4.43","93.11","2019-03-27","11:26:00","Cash","88.68","4.76","4.43","5.8","Morning","Wednesday","March    "
"109-28-2512","B","Mandalay","Member","Female","Fashion accessories","97.61",6,"29.28","614.94","2019-01-07","15:01:00","Ewallet","585.66","4.76","29.28","9.9","Afternoon","Monday   ","January  "
"109-86-4363","B","Mandalay","Member","Female","Sports and travel","60.08",7,"21.03","441.59","2019-02-14","11:36:00","Credit card","420.56","4.76","21.03","4.5","Morning","Thursday ","February "
"110-05-6330","C","Naypyitaw","Normal","Female","Food and beverages","39.43",6,"11.83","248.41","2019-03-25","20:18:00","Credit card","236.58","4.76","11.83","9.4","Evening","Monday   ","March    "
"110-48-7033","B","Mandalay","Member","Male","Fashion accessories","32.62",4,"6.52","137.00","2019-01-29","14:12:00","Cash","130.48","4.76","6.52","9.0","Afternoon","Tuesday  ","January  "
"114-35-5271","B","Mandalay","Normal","Female","Electronic accessories","57.91",8,"23.16","486.44","2019-02-07","15:06:00","Cash","463.28","4.76","23.16","8.1","Afternoon","Thursday ","February "
"115-38-7388","C","Naypyitaw","Member","Female","Fashion accessories","10.18",8,"4.07","85.51","2019-03-30","12:51:00","Credit card","81.44","4.76","4.07","9.5","Afternoon","Saturday ","March    "
"115-99-4379","B","Mandalay","Member","Female","Fashion accessories","54.73",7,"19.16","402.27","2019-03-14","19:02:00","Credit card","383.11","4.76","19.16","8.5","Evening","Thursday ","March    "
"118-62-1812","C","Naypyitaw","Member","Female","Home and lifestyle","78.38",4,"15.68","329.20","2019-03-24","17:56:00","Cash","313.52","4.76","15.68","7.9","Evening","Sunday   ","March    "
"120-06-4233","C","Naypyitaw","Normal","Male","Electronic accessories","30.61",6,"9.18","192.84","2019-03-12","20:36:00","Cash","183.66","4.76","9.18","9.3","Evening","Tuesday  ","March    "
"120-54-2248","B","Mandalay","Normal","Female","Food and beverages","28.86",5,"7.22","151.52","2019-01-22","18:08:00","Credit card","144.30","4.76","7.22","8.0","Evening","Tuesday  ","January  "
"122-61-9553","C","Naypyitaw","Normal","Female","Electronic accessories","51.32",9,"23.09","484.97","2019-03-14","19:33:00","Cash","461.88","4.76","23.09","5.6","Evening","Thursday ","March    "
"123-19-1176","A","Yangon","Member","Male","Health and beauty","58.22",8,"23.29","489.05","2019-01-27","20:33:00","Ewallet","465.76","4.76","23.29","8.4","Evening","Sunday   ","January  "
"123-35-4896","C","Naypyitaw","Normal","Female","Sports and travel","46.66",9,"21.00","440.94","2019-02-17","19:11:00","Ewallet","419.94","4.76","21.00","5.3","Evening","Sunday   ","February "
"124-31-1458","A","Yangon","Member","Female","Electronic accessories","79.59",3,"11.94","250.71","2019-01-08","14:30:00","Cash","238.77","4.76","11.94","6.6","Afternoon","Tuesday  ","January  "
"125-45-2293","A","Yangon","Normal","Female","Fashion accessories","99.10",6,"29.73","624.33","2019-01-19","13:11:00","Cash","594.60","4.76","29.73","4.2","Afternoon","Saturday ","January  "
"126-54-1082","A","Yangon","Member","Female","Home and lifestyle","21.54",9,"9.69","203.55","2019-01-07","11:44:00","Credit card","193.86","4.76","9.69","8.8","Morning","Monday   ","January  "
"127-47-6963","A","Yangon","Normal","Male","Health and beauty","51.71",4,"10.34","217.18","2019-03-09","13:53:00","Credit card","206.84","4.76","10.34","9.8","Afternoon","Saturday ","March    "
"129-29-8530","A","Yangon","Member","Male","Sports and travel","62.62",5,"15.66","328.76","2019-03-10","19:15:00","Ewallet","313.10","4.76","15.66","7.0","Evening","Sunday   ","March    "
"130-67-4723","A","Yangon","Member","Male","Food and beverages","48.50",6,"14.55","305.55","2019-01-11","13:57:00","Ewallet","291.00","4.76","14.55","9.4","Afternoon","Friday   ","January  "
"130-98-8941","C","Naypyitaw","Normal","Male","Fashion accessories","64.26",7,"22.49","472.31","2019-02-09","10:00:00","Cash","449.82","4.76","22.49","5.7","Morning","Saturday ","February "
"131-15-8856","C","Naypyitaw","Member","Female","Food and beverages","72.52",8,"29.01","609.17","2019-03-30","19:26:00","Credit card","580.16","4.76","29.01","4.0","Evening","Saturday ","March    "
"131-70-8179","A","Yangon","Member","Female","Health and beauty","92.09",3,"13.81","290.08","2019-02-17","16:27:00","Cash","276.27","4.76","13.81","4.2","Evening","Sunday   ","February "
"132-23-6451","A","Yangon","Member","Male","Health and beauty","20.97",5,"5.24","110.09","2019-01-04","13:21:00","Cash","104.85","4.76","5.24","7.8","Afternoon","Friday   ","January  "
"132-32-9879","B","Mandalay","Member","Female","Electronic accessories","93.96",4,"18.79","394.63","2019-03-09","18:00:00","Cash","375.84","4.76","18.79","9.5","Evening","Saturday ","March    "
"133-14-7229","C","Naypyitaw","Normal","Male","Health and beauty","62.87",2,"6.29","132.03","2019-01-01","11:43:00","Cash","125.74","4.76","6.29","5.0","Morning","Tuesday  ","January  "
"133-77-3154","B","Mandalay","Member","Male","Fashion accessories","60.18",4,"12.04","252.76","2019-02-16","18:04:00","Credit card","240.72","4.76","12.04","9.4","Evening","Saturday ","February "
"134-54-4720","B","Mandalay","Normal","Female","Electronic accessories","42.42",8,"16.97","356.33","2019-01-30","13:58:00","Ewallet","339.36","4.76","16.97","5.7","Afternoon","Wednesday","January  "
"134-75-2619","A","Yangon","Member","Male","Electronic accessories","19.32",7,"6.76","142.00","2019-03-25","18:51:00","Cash","135.24","4.76","6.76","6.9","Evening","Monday   ","March    "
